LLM 总参数量: 26194432
LoRA 参数量: 262144
LoRA 参数占比: 1.00%
Epoch:[26/50](200/790) loss:1.654 lr:0.000029602347 epoch_Time:1.0min:
Epoch:[26/50](300/790) loss:1.555 lr:0.000029403552 epoch_Time:1.0min:
Epoch:[26/50](400/790) loss:1.679 lr:0.000029204794 epoch_Time:1.0min:
Epoch:[26/50](500/790) loss:1.626 lr:0.000029006087 epoch_Time:1.0min:
Epoch:[26/50](600/790) loss:1.720 lr:0.000028807443 epoch_Time:1.0min:
Epoch:[26/50](700/790) loss:1.751 lr:0.000028608874 epoch_Time:1.0min:
Epoch:[27/50](0/790) loss:1.569 lr:0.000028430237 epoch_Time:2.0min:
Epoch:[27/50](100/790) loss:1.604 lr:0.000028231846 epoch_Time:1.0min:
Epoch:[27/50](200/790) loss:1.653 lr:0.000028033567 epoch_Time:1.0min:
Epoch:[27/50](300/790) loss:1.553 lr:0.000027835412 epoch_Time:1.0min:
Epoch:[27/50](400/790) loss:1.677 lr:0.000027637395 epoch_Time:1.0min:
Epoch:[27/50](500/790) loss:1.624 lr:0.000027439526 epoch_Time:1.0min:
Epoch:[27/50](600/790) loss:1.719 lr:0.000027241820 epoch_Time:1.0min:
Epoch:[27/50](700/790) loss:1.750 lr:0.000027044288 epoch_Time:1.0min:
Epoch:[28/50](0/790) loss:1.568 lr:0.000026866669 epoch_Time:2.0min:
Epoch:[28/50](100/790) loss:1.603 lr:0.000026669503 epoch_Time:1.0min:
Epoch:[28/50](200/790) loss:1.651 lr:0.000026472548 epoch_Time:1.0min:
Epoch:[28/50](300/790) loss:1.552 lr:0.000026275816 epoch_Time:1.0min:
Epoch:[28/50](400/790) loss:1.675 lr:0.000026079319 epoch_Time:1.0min:
Epoch:[28/50](500/790) loss:1.623 lr:0.000025883071 epoch_Time:1.0min:
Epoch:[28/50](600/790) loss:1.717 lr:0.000025687083 epoch_Time:1.0min:
Epoch:[28/50](700/790) loss:1.748 lr:0.000025491367 epoch_Time:1.0min:
Epoch:[29/50](0/790) loss:1.566 lr:0.000025315467 epoch_Time:2.0min:
Epoch:[29/50](100/790) loss:1.601 lr:0.000025120304 epoch_Time:1.0min:
Epoch:[29/50](200/790) loss:1.650 lr:0.000024925450 epoch_Time:1.0min:
Epoch:[29/50](300/790) loss:1.550 lr:0.000024730917 epoch_Time:1.0min:
Epoch:[29/50](400/790) loss:1.673 lr:0.000024536717 epoch_Time:1.0min:
Epoch:[29/50](500/790) loss:1.621 lr:0.000024342863 epoch_Time:1.0min:
Epoch:[29/50](600/790) loss:1.716 lr:0.000024149366 epoch_Time:1.0min:
Epoch:[29/50](700/790) loss:1.747 lr:0.000023956240 epoch_Time:1.0min:
Epoch:[30/50](0/790) loss:1.564 lr:0.000023782753 epoch_Time:1.0min:
Epoch:[30/50](100/790) loss:1.600 lr:0.000023590363 epoch_Time:1.0min:
Epoch:[30/50](200/790) loss:1.649 lr:0.000023398379 epoch_Time:1.0min:
Epoch:[30/50](300/790) loss:1.549 lr:0.000023206813 epoch_Time:1.0min:
Epoch:[30/50](400/790) loss:1.671 lr:0.000023015676 epoch_Time:1.0min:
Epoch:[30/50](500/790) loss:1.620 lr:0.000022824981 epoch_Time:1.0min:
Epoch:[30/50](600/790) loss:1.715 lr:0.000022634740 epoch_Time:1.0min:
Epoch:[30/50](700/790) loss:1.746 lr:0.000022444965 epoch_Time:1.0min:
Epoch:[31/50](0/790) loss:1.563 lr:0.000022274575 epoch_Time:1.0min:
Epoch:[31/50](100/790) loss:1.598 lr:0.000022085718 epoch_Time:1.0min:
Epoch:[31/50](200/790) loss:1.648 lr:0.000021897362 epoch_Time:1.0min:
Epoch:[31/50](300/790) loss:1.548 lr:0.000021709518 epoch_Time:1.0min:
Epoch:[31/50](400/790) loss:1.670 lr:0.000021522199 epoch_Time:1.0min:
Epoch:[31/50](500/790) loss:1.618 lr:0.000021335416 epoch_Time:1.0min:
Epoch:[31/50](600/790) loss:1.714 lr:0.000021149181 epoch_Time:1.0min:
Epoch:[31/50](700/790) loss:1.745 lr:0.000020963505 epoch_Time:1.0min:
Epoch:[32/50](0/790) loss:1.561 lr:0.000020796886 epoch_Time:2.0min:
Epoch:[32/50](100/790) loss:1.597 lr:0.000020612307 epoch_Time:1.0min:
Epoch:[32/50](200/790) loss:1.647 lr:0.000020428322 epoch_Time:1.0min:
Epoch:[32/50](300/790) loss:1.547 lr:0.000020244942 epoch_Time:1.0min:
Epoch:[32/50](400/790) loss:1.668 lr:0.000020062179 epoch_Time:1.0min:
Epoch:[32/50](500/790) loss:1.617 lr:0.000019880045 epoch_Time:1.0min:
Epoch:[32/50](600/790) loss:1.713 lr:0.000019698551 epoch_Time:1.0min:
Epoch:[32/50](700/790) loss:1.745 lr:0.000019517709 epoch_Time:1.0min:
Epoch:[33/50](0/790) loss:1.560 lr:0.000019355518 epoch_Time:2.0min:
Epoch:[33/50](100/790) loss:1.596 lr:0.000019175945 epoch_Time:1.0min:
Epoch:[33/50](200/790) loss:1.646 lr:0.000018997057 epoch_Time:1.0min:
Epoch:[33/50](300/790) loss:1.546 lr:0.000018818865 epoch_Time:1.0min:
Epoch:[33/50](400/790) loss:1.667 lr:0.000018641380 epoch_Time:1.0min:
Epoch:[33/50](500/790) loss:1.616 lr:0.000018464614 epoch_Time:1.0min:
Epoch:[33/50](600/790) loss:1.712 lr:0.000018288577 epoch_Time:1.0min:
Epoch:[33/50](700/790) loss:1.744 lr:0.000018113282 epoch_Time:1.0min:
Epoch:[34/50](0/790) loss:1.559 lr:0.000017956158 epoch_Time:2.0min:
Epoch:[34/50](100/790) loss:1.595 lr:0.000017782300 epoch_Time:1.0min:
Epoch:[34/50](200/790) loss:1.645 lr:0.000017609216 epoch_Time:1.0min:
Epoch:[34/50](300/790) loss:1.545 lr:0.000017436915 epoch_Time:1.0min:
Epoch:[34/50](400/790) loss:1.666 lr:0.000017265408 epoch_Time:1.0min:
Epoch:[34/50](500/790) loss:1.615 lr:0.000017094708 epoch_Time:1.0min:
Epoch:[34/50](600/790) loss:1.711 lr:0.000016924823 epoch_Time:1.0min:
Epoch:[34/50](700/790) loss:1.743 lr:0.000016755766 epoch_Time:1.0min:
Epoch:[35/50](0/790) loss:1.558 lr:0.000016604330 epoch_Time:2.0min:
Epoch:[35/50](100/790) loss:1.594 lr:0.000016436874 epoch_Time:1.0min:
Epoch:[35/50](200/790) loss:1.644 lr:0.000016270275 epoch_Time:1.0min:
Epoch:[35/50](300/790) loss:1.544 lr:0.000016104545 epoch_Time:1.0min:
Epoch:[35/50](400/790) loss:1.665 lr:0.000015939694 epoch_Time:1.0min:
Epoch:[35/50](500/790) loss:1.614 lr:0.000015775732 epoch_Time:1.0min:
Epoch:[35/50](600/790) loss:1.710 lr:0.000015612670 epoch_Time:1.0min:
Epoch:[35/50](700/790) loss:1.742 lr:0.000015450519 epoch_Time:1.0min:
Epoch:[36/50](0/790) loss:1.557 lr:0.000015305369 epoch_Time:1.0min:
Epoch:[36/50](100/790) loss:1.593 lr:0.000015144974 epoch_Time:1.0min:
Epoch:[36/50](200/790) loss:1.643 lr:0.000014985520 epoch_Time:1.0min:
Epoch:[36/50](300/790) loss:1.543 lr:0.000014827015 epoch_Time:1.0min:
Epoch:[36/50](400/790) loss:1.664 lr:0.000014669469 epoch_Time:1.0min:
Epoch:[36/50](500/790) loss:1.613 lr:0.000014512894 epoch_Time:1.0min:
Epoch:[36/50](600/790) loss:1.709 lr:0.000014357298 epoch_Time:1.0min:
Epoch:[36/50](700/790) loss:1.742 lr:0.000014202692 epoch_Time:1.0min:
Epoch:[37/50](0/790) loss:1.556 lr:0.000014064400 epoch_Time:2.0min:
Epoch:[37/50](100/790) loss:1.592 lr:0.000013911701 epoch_Time:1.0min:
Epoch:[37/50](200/790) loss:1.642 lr:0.000013760019 epoch_Time:1.0min:
Epoch:[37/50](300/790) loss:1.543 lr:0.000013609365 epoch_Time:1.0min:
Epoch:[37/50](400/790) loss:1.663 lr:0.000013459747 epoch_Time:1.0min:
Epoch:[37/50](500/790) loss:1.612 lr:0.000013311176 epoch_Time:1.0min:
Epoch:[37/50](600/790) loss:1.709 lr:0.000013163660 epoch_Time:1.0min:
Epoch:[37/50](700/790) loss:1.741 lr:0.000013017210 epoch_Time:1.0min:
Epoch:[38/50](0/790) loss:1.555 lr:0.000012886322 epoch_Time:2.0min:
Epoch:[38/50](100/790) loss:1.592 lr:0.000012741921 epoch_Time:1.0min:
Epoch:[38/50](200/790) loss:1.642 lr:0.000012598611 epoch_Time:1.0min:
Epoch:[38/50](300/790) loss:1.542 lr:0.000012456401 epoch_Time:1.0min:
Epoch:[38/50](400/790) loss:1.662 lr:0.000012315302 epoch_Time:1.0min:
Epoch:[38/50](500/790) loss:1.612 lr:0.000012175321 epoch_Time:1.0min:
Epoch:[38/50](600/790) loss:1.708 lr:0.000012036468 epoch_Time:1.0min:
Epoch:[38/50](700/790) loss:1.741 lr:0.000011898751 epoch_Time:1.0min:
Epoch:[39/50](0/790) loss:1.555 lr:0.000011775784 epoch_Time:1.0min:
Epoch:[39/50](100/790) loss:1.591 lr:0.000011640250 epoch_Time:1.0min:
